$lines,$cyclomatic,$churn,$churn_adds,$churn_dels,$num_commits,$num_developers,$num_pre_release_issues,$changed_lines,$mean_experience,$post_num_commits,$num_cochanged_files,$>num_issues
40,3,0,0,0,0,0,0,0,0.0,0,0,0
80,11,0,0,0,0,0,0,0,0.0,0,0,0
59,5,0,0,0,0,0,0,0,0.0,0,0,0
28,3,0,0,0,0,0,0,0,0.0,0,0,0
60,8,0,0,0,0,0,0,0,0.0,0,0,0
79,8,0,0,0,0,0,0,0,0.0,0,0,0
30,2,0,0,0,0,0,0,0,0.0,0,0,0
519,92,0,0,0,0,0,0,0,0.0,0,0,0
51,5,0,0,0,0,0,0,0,0.0,0,0,0
77,12,0,0,0,0,0,0,0,0.0,0,0,0
75,9,0,0,0,0,0,0,0,0.0,0,0,0
66,5,0,0,0,0,0,0,0,0.0,0,0,0
63,7,0,0,0,0,0,0,0,0.0,0,0,0
60,7,0,0,0,0,0,0,0,0.0,0,0,0
65,5,0,0,0,0,0,0,0,0.0,0,0,0
47,3,0,0,0,0,0,0,0,0.0,0,0,0
58,6,0,0,0,0,0,0,0,0.0,0,0,0
88,11,0,0,0,0,0,0,0,0.0,0,0,0
54,6,0,0,0,0,0,0,0,0.0,0,0,0
76,9,0,0,0,0,0,0,0,0.0,0,0,0
53,2,0,0,0,0,0,0,0,0.0,0,0,0
44,4,0,0,0,0,0,0,0,0.0,0,0,0
54,6,0,0,0,0,0,0,0,0.0,0,0,0
46,2,0,0,0,0,0,0,0,0.0,0,0,0
46,4,0,0,0,0,0,0,0,0.0,0,0,0
63,9,0,0,0,0,0,0,0,0.0,0,0,0
58,4,0,0,0,0,0,0,0,0.0,0,0,0
87,10,0,0,0,0,0,0,0,0.0,0,0,0
66,6,0,0,0,0,0,0,0,0.0,0,0,0
50,5,0,0,0,0,0,0,0,0.0,0,0,0
29,1,0,0,0,0,0,0,0,0.0,0,0,0
58,3,0,0,0,0,0,0,0,0.0,0,0,0
62,6,0,0,0,0,0,0,0,0.0,0,0,0
46,4,0,0,0,0,0,0,0,0.0,0,0,0
125,18,0,0,0,0,0,0,0,0.0,0,0,0
52,3,0,0,0,0,0,0,0,0.0,0,0,0
70,8,0,0,0,0,0,0,0,0.0,0,0,0
71,8,0,0,0,0,0,0,0,0.0,0,0,0
48,2,0,0,0,0,0,0,0,0.0,0,0,0
55,5,0,0,0,0,0,0,0,0.0,0,0,0
38,3,0,0,0,0,0,0,0,0.0,0,0,0
45,5,0,0,0,0,0,0,0,0.0,0,0,0
91,12,0,0,0,0,0,0,0,0.0,0,0,0
40,3,0,0,0,0,0,0,0,0.0,0,0,0
48,5,0,0,0,0,0,0,0,0.0,0,0,0
50,2,0,0,0,0,0,0,0,0.0,0,0,0
41,3,0,0,0,0,0,0,0,0.0,0,0,0
53,6,0,0,0,0,0,0,0,0.0,0,0,0
50,2,0,0,0,0,0,0,0,0.0,0,0,0
51,5,0,0,0,0,0,0,0,0.0,0,0,0
53,5,0,0,0,0,0,0,0,0.0,0,0,0
51,3,0,0,0,0,0,0,0,0.0,0,0,0
40,3,0,0,0,0,0,0,0,0.0,0,0,0
57,6,0,0,0,0,0,0,0,0.0,0,0,0
25,2,0,0,0,0,0,0,0,0.0,0,0,0
161,33,0,0,0,0,0,0,0,0.0,0,0,0
26,2,0,0,0,0,0,0,0,0.0,0,0,0
43,5,0,0,0,0,0,0,0,0.0,0,0,0
231,29,0,0,0,0,0,0,0,0.0,0,0,0
165,21,0,0,0,0,0,0,0,0.0,0,0,0
175,19,0,0,0,0,0,0,0,0.0,0,0,0
385,51,0,0,0,0,0,0,0,0.0,0,0,0
95,11,0,0,0,0,0,0,0,0.0,0,0,0
61,1,0,0,0,0,0,0,0,0.0,0,0,0
52,2,0,0,0,0,0,0,0,0.0,0,0,0
379,35,0,0,0,0,0,0,0,0.0,0,0,0
59,6,59,59,0,1,1,0,0,0.0,0,0,0
60,6,60,60,0,1,1,0,0,0.0,0,0,0
59,6,59,59,0,1,1,0,0,0.0,0,0,0
59,6,59,59,0,1,1,0,0,0.0,0,0,0
74,6,74,74,0,1,1,0,0,0.0,0,0,0
186,18,0,0,0,0,0,0,0,0.0,0,0,0
93,7,0,0,0,0,0,0,0,0.0,0,0,0
109,5,15,10,5,1,1,0,0,0.0,0,0,0
102,4,0,0,0,0,0,0,0,0.0,0,0,0
101,4,0,0,0,0,0,0,0,0.0,0,0,0
120,4,0,0,0,0,0,0,0,0.0,0,0,0
117,4,0,0,0,0,0,0,0,0.0,0,0,0
116,4,0,0,0,0,0,0,0,0.0,0,0,0
120,4,0,0,0,0,0,0,0,0.0,0,0,0
116,4,0,0,0,0,0,0,0,0.0,0,0,0
117,4,0,0,0,0,0,0,0,0.0,0,0,0
72,1,0,0,0,0,0,0,0,0.0,0,0,0
108,4,0,0,0,0,0,0,0,0.0,0,0,0
108,4,0,0,0,0,0,0,0,0.0,0,0,0
